,fuel,make,odometer,price,title status,transmission,VIN,condition,drive,paint color,type,cylinders,size,price_num
167, gas,2017 Mitsubishi Lancer SE Anniversary, 24600,"$9,500", rebuilt, manual,, excellent, fwd, white, sedan, 4 cylinders,,9500
168, gas,2010 2010 hyundai genesis coupe 2.0t, 102000,"$9,999", clean, automatic,, excellent,, white, coupe, 4 cylinders,,9999
169, gas,2017 nissan qashqai, 32000,"$15,900", clean, automatic,,,,,,,,15900
170, gas,2002 ford mustang gt premium, 164000,"$9,500", clean, manual,, excellent, rwd, black, coupe, 8 cylinders, compact,9500
171, gas,2014 Ford F150 XL Crew Cab, 177450,"$13,500", clean, automatic,, excellent, 4wd, white, pickup, 6 cylinders, full-size,13500
172, gas,2017 Honda Civic Touring Sedan CVT, 34500,"$23,500", clean, automatic,, new, fwd, silver, sedan, 4 cylinders, mid-size,23500
173, gas,2007 bmw, 73000,"$37,000", clean, manual,, like new, rwd, black, coupe, 10 cylinders, compact,37000
174, gas,2008 Honda Civic Coupe 5 speed, 77000,"$6,000", rebuilt, manual, 2HGFG11378H006519, excellent, fwd, white, coupe, 4 cylinders, compact,6000
175, gas,2009 Mercedes Benz B200, 166000,"$4,000", rebuilt, automatic, WDDFH33X79J455048, excellent, fwd, white, wagon, 4 cylinders, compact,4000
176, gas,2009 suzuki sx4 awd, 70000,"$7,700", rebuilt, automatic, JS2YB417796202656, excellent, 4wd, silver, hatchback, 4 cylinders, compact,7700
177, gas,2010 nissan altima, 265000,"$1,234", clean, automatic,, excellent,,,,,,1234
178, gas,2009 toyota tacoma prerunner, 173000,"$15,000", rebuilt, manual,, excellent, 4wd, grey, pickup, 4 cylinders, compact,15000
179, gas,2012 Mazda 3 GS auto sedan, 90000,"$6,800", rebuilt, automatic, JM1BL1UF2C1671849, excellent, fwd, white, sedan, 4 cylinders, compact,6800
180, gas,2001 ford mustang v6, 289000,"$2,800", clean, manual,,, rwd, silver,, 6 cylinders,,2800
